iter	Passed	Remaining
0	299	149661
1	419	104567
2	519	86047
3	614	76202
4	727	71982
5	819	67445
6	916	64548
7	1014	62363
8	1128	61572
9	1217	59646
10	1307	58134
11	1414	57510
12	1516	56794
13	1610	55900
14	1721	55648
15	1826	55243
16	1930	54842
17	2034	54480
18	2137	54119
19	2245	53880
20	2345	53502
21	2463	53527
22	2567	53252
23	2671	52983
24	2768	52601
25	2884	52591
26	2986	52310
27	3084	51991
28	3190	51823
29	3283	51436
30	3388	51264
31	3490	51052
32	3601	50973
33	3715	50924
34	3819	50751
35	3907	50358
36	4005	50122
37	4098	49832
38	4211	49781
39	4320	49690
40	4418	49467
41	4528	49384
42	4650	49420
43	4764	49373
44	4872	49268
45	4978	49140
46	5085	49012
47	5189	48870
48	5299	48772
49	5402	48625
50	5503	48455
51	5602	48265
52	5720	48243
53	5834	48185
54	5950	48144
55	6048	47958
56	6147	47775
57	6239	47551
58	6341	47400
59	6455	47339
60	6561	47218
61	6653	47004
62	6738	46743
63	6821	46470
64	6907	46227
65	6997	46013
66	7099	45883
67	7200	45742
68	7310	45664
69	7427	45623
70	7535	45534
71	7636	45394
72	7742	45288
73	7853	45208
74	7954	45072
75	8048	44904
76	8151	44779
77	8265	44720
78	8360	44555
79	8460	44419
80	8554	44252
81	8651	44101
82	8756	43994
83	8862	43888
84	8973	43812
85	9064	43638
86	9175	43555
87	9280	43451
88	9370	43272
89	9467	43130
90	9559	42965
91	9659	42835
92	9770	42757
93	9875	42653
94	9982	42556
95	10086	42447
96	10189	42333
97	10297	42240
98	10403	42139
99	10525	42102
100	10625	41974
101	10728	41860
102	10834	41759
103	10945	41676
104	11046	41557
105	11139	41403
106	11231	41251
107	11309	41049
108	11393	40868
109	11489	40737
110	11595	40635
111	11694	40512
112	11800	40414
113	11891	40263
114	11987	40131
115	12109	40087
116	12213	39980
117	12322	39892
118	12426	39786
119	12532	39686
120	12642	39598
121	12761	39538
122	12862	39425
123	12956	39287
124	13044	39132
125	13131	38977
126	13240	38886
127	13336	38758
128	13428	38620
129	13520	38480
130	13614	38349
131	13703	38203
132	13799	38079
133	13888	37934
134	13979	37795
135	14068	37654
136	14155	37506
137	14242	37361
138	14331	37220
139	14422	37085
140	14516	36959
141	14628	36879
142	14736	36790
143	14838	36684
144	14959	36625
