iter	Logloss
0	0.6163436293
1	0.5595496291
2	0.5053914906
3	0.4616394318
4	0.4314084363
5	0.4079943501
6	0.3840190147
7	0.3660157906
8	0.3507135537
9	0.3377599686
10	0.3235184709
11	0.3120135004
12	0.3050132755
13	0.2985843855
14	0.291766722
15	0.2852531867
16	0.2789411424
17	0.2741718778
18	0.2686597915
19	0.2636338366
20	0.2590058289
21	0.2540797243
22	0.2507389689
23	0.2474608765
24	0.2439773276
25	0.2411926124
26	0.2379706187
27	0.2355810944
28	0.2328463488
29	0.2308796102
30	0.2291225119
31	0.2268353204
32	0.2246761479
33	0.2230009792
34	0.221762447
35	0.2203460556
36	0.2182802618
37	0.2168710294
38	0.2147913203
39	0.2131152265
40	0.2118596282
41	0.209985905
42	0.2082081002
43	0.2071070438
44	0.2060060928
45	0.2050112066
46	0.203754018
47	0.2024484075
48	0.2010970428
49	0.1998388736
50	0.198960585
51	0.19776989
52	0.1970188082
53	0.1962466837
54	0.1954192302
55	0.1947384346
56	0.194042801
57	0.1933553105
58	0.1926815552
59	0.1915336885
60	0.1910237916
61	0.190202611
62	0.189479469
63	0.1888729108
64	0.1880054081
65	0.1872663166
66	0.1865369366
67	0.1860756862
68	0.1854354276
69	0.184895278
70	0.1842707391
71	0.1838287657
72	0.183086961
73	0.1824327642
74	0.1816434433
75	0.1812432917
76	0.1808858531
77	0.1803731982
78	0.1796922959
79	0.1792010816
80	0.1786114518
81	0.1778909519
82	0.1773881348
83	0.1768040842
84	0.1763329553
85	0.1757541347
86	0.1751411499
87	0.1744922342
88	0.1742529203
89	0.1739025005
90	0.1735791678
91	0.1732194053
92	0.1728096793
93	0.1724368338
94	0.1721008372
95	0.1719727621
96	0.1714216796
97	0.1710840952
98	0.1706079749
99	0.1701838531
100	0.1697638279
101	0.1693230992
102	0.1687538344
103	0.1682196255
104	0.1677336851
105	0.167422366
106	0.1672051108
107	0.1669940268
108	0.1665969392
109	0.1660770486
110	0.1656705058
111	0.1653910109
112	0.1649487549
113	0.1644499907
114	0.1639746155
115	0.1636248623
116	0.1633413318
117	0.1630093667
118	0.1625140044
119	0.1619349054
120	0.1615811399
121	0.1613197322
122	0.1609581068
123	0.1606363201
124	0.1603699093
125	0.1600176114
126	0.1597284681
127	0.1594128904
128	0.1591001633
129	0.1588322635
130	0.1585306561
131	0.1580808651
132	0.157832601
133	0.1575679885
134	0.1572517212
135	0.1569423732
136	0.1565752207
137	0.156350767
138	0.1561279241
139	0.1558733463
140	0.1556272081
141	0.155423571
142	0.1552006768
143	0.1549611947
144	0.1545963051
145	0.1542264514
146	0.1540318083
147	0.1537554954
148	0.1535136889
149	0.1531937403
150	0.1530218258
151	0.1527012925
152	0.152483687
153	0.152295305
154	0.1520602005
155	0.1518187438
156	0.1514947914
157	0.1512464616
158	0.1510177762
159	0.1508265938
160	0.1507217877
161	0.1504804097
162	0.1503355002
163	0.1501885867
164	0.1499568699
165	0.1497953427
166	0.1496524033
167	0.1494340032
168	0.1492313576
169	0.1490919741
170	0.1489215689
171	0.1487377909
172	0.1485944463
173	0.1483623266
174	0.1481680697
175	0.1478504557
176	0.1476678784
177	0.1474808249
178	0.1472855054
179	0.1471283311
180	0.1469088707
181	0.146798581
182	0.1465616907
183	0.146554931
184	0.1463358166
185	0.1461738031
186	0.1461263525
187	0.1458797245
188	0.1457101788
189	0.1455547469
190	0.145401941
191	0.145230821
192	0.1450901953
193	0.1449761114
194	0.1447966154
195	0.1446406789
196	0.1444817125
197	0.1443200659
198	0.1441562839
199	0.1439067215
200	0.1437956827
201	0.1436038781
202	0.1434733164
203	0.1433336441
204	0.1431772108
205	0.1429490678
206	0.1427561803
207	0.1425813836
208	0.1424328576
209	0.1422756982
210	0.1421709138
211	0.1419498073
212	0.1417322951
213	0.1415358841
214	0.1415297863
215	0.1412977828
216	0.1411073988
217	0.1409686685
218	0.1407480799
219	0.1405691465
220	0.1404341032
221	0.140258376
222	0.1401457812
223	0.140011467
224	0.1398468149
225	0.1397114406
226	0.1396038141
227	0.1394038273
228	0.139210042
229	0.1391075583
230	0.1389626269
231	0.1389013625
232	0.1387172385
233	0.1386134611
234	0.1384870837
235	0.1383953942
236	0.1382556736
237	0.1380624083
238	0.1379338218
239	0.1378351073
240	0.1376051732
241	0.1374456046
242	0.1372778162
243	0.137127961
244	0.1370068864
245	0.1369852204
246	0.1369784447
247	0.1367931091
248	0.1366367872
249	0.1364995626
250	0.1363335588
251	0.1361732892
252	0.1360555105
253	0.1359272543
254	0.1358048511
255	0.1356791718
256	0.1356699396
257	0.1355629132
258	0.1353958647
259	0.1352281396
260	0.1352246829
261	0.1350928232
262	0.1349696206
263	0.1348407693
264	0.1346934182
265	0.1345600898
266	0.1344530708
267	0.1343444262
268	0.1341344914
269	0.1339991077
270	0.1338965885
271	0.1337901038
272	0.133663596
273	0.1336453311
274	0.1335062662
275	0.13334146
276	0.1331783345
277	0.1330508292
278	0.1329211315
279	0.1329211287
280	0.132793948
281	0.1326644282
282	0.1325827097
283	0.1325763357
284	0.1324913675
285	0.13235703
286	0.1322326248
287	0.1321068604
288	0.131960838
289	0.1318523605
290	0.1317328002
291	0.1315425473
292	0.1315087983
293	0.1313584015
294	0.131270907
295	0.1311827327
296	0.131060072
297	0.1309090905
298	0.1307925778
299	0.1306368884
