iter	Passed	Remaining
0	201	100497
1	324	80698
2	454	75289
3	581	72055
4	719	71209
5	843	69407
6	959	67605
7	1069	65771
8	1187	64780
9	1323	64851
10	1469	65334
11	1584	64416
12	1723	64548
13	1850	64248
14	1971	63729
15	2103	63620
16	2388	67874
17	2528	67696
18	2651	67135
19	2768	66449
20	2901	66174
21	3024	65721
22	3154	65418
23	3290	65264
24	3410	64805
25	3510	63997
26	3618	63398
27	3752	63251
28	3869	62839
29	3982	62396
30	4132	62521
31	4280	62600
32	4408	62387
33	4562	62527
34	4707	62548
35	4834	62310
36	4952	61974
37	5078	61740
38	5194	61398
39	5315	61122
40	5452	61046
41	5588	60941
42	5704	60624
43	5817	60291
44	5933	59997
45	6093	60137
46	6234	60087
47	6345	59750
48	6452	59388
49	6560	59047
50	6671	58733
51	6803	58618
52	6949	58607
53	7091	58568
54	7215	58383
55	7335	58161
56	7464	58011
57	7604	57955
58	7726	57752
59	7830	57420
60	7954	57248
61	8083	57105
62	8224	57051
63	8344	56850
64	8501	56895
65	8644	56840
66	8758	56604
67	8859	56285
68	8983	56113
69	9120	56026
70	9251	55901
71	9382	55775
72	9524	55708
73	9666	55649
74	9824	55670
75	9969	55616
76	10097	55472
77	10248	55444
78	10377	55300
79	10482	55035
80	10642	55054
81	10781	54959
82	10892	54725
83	11010	54527
84	11117	54280
85	11235	54085
86	11386	54054
87	11539	54024
88	11647	53789
89	11777	53653
90	11902	53495
91	12019	53302
92	12149	53170
93	12283	53053
94	12422	52959
95	12558	52850
96	12718	52841
97	12853	52723
98	12986	52603
99	13115	52462
100	13225	52245
101	13322	51982
102	13446	51825
103	13579	51706
104	13694	51518
105	13824	51384
106	13951	51243
107	14083	51119
108	14214	50990
109	14368	50944
110	14507	50840
111	14693	50903
112	14872	50936
113	15005	50806
114	15143	50699
115	15264	50529
116	15372	50320
117	15488	50139
118	15603	49957
119	15717	49772
120	15846	49635
121	15965	49468
122	16104	49359
123	16227	49206
124	16336	49010
125	16460	48858
126	16579	48694
127	16701	48539
128	16819	48373
129	16959	48270
130	17087	48132
131	17214	47991
132	17321	47795
133	17431	47612
134	17542	47428
135	17653	47249
136	17757	47051
137	17867	46869
138	17971	46673
139	18096	46534
140	18234	46426
141	18372	46320
142	18497	46178
143	18625	46046
144	18752	45910
145	18864	45739
146	18974	45565
147	19098	45423
148	19214	45264
149	19330	45104
150	19434	44917
151	19542	44741
152	19662	44594
153	19781	44443
154	19914	44326
155	20019	44144
156	20134	43987
157	20267	43870
158	20381	43712
159	20490	43542
160	20637	43453
161	20770	43336
162	20888	43187
163	21016	43057
164	21137	42915
165	21254	42765
166	21385	42643
167	21498	42484
168	21602	42310
169	21701	42126
170	21834	42009
171	21953	41864
172	22055	41688
173	22173	41542
174	22300	41415
175	22445	41320
176	22559	41168
177	22661	40994
178	22783	40857
179	22938	40779
180	23067	40655
181	23185	40511
182	23322	40399
183	23421	40223
184	23563	40122
185	23675	39968
186	23770	39787
187	23917	39692
188	24058	39587
189	24208	39498
190	24355	39401
191	24489	39285
192	24625	39171
193	24743	39028
194	24846	38862
195	24960	38714
196	25073	38565
197	25205	38444
198	25328	38310
199	25467	38200
200	25596	38076
201	25699	37913
202	25830	37791
203	25967	37679
204	26085	37537
205	26234	37440
206	26363	37316
207	26477	37169
208	26569	36994
209	26683	36848
210	26789	36692
211	26928	36581
212	27049	36447
213	27186	36332
214	27283	36166
215	27391	36014
216	27530	35903
217	27658	35778
218	27777	35641
219	27906	35517
220	28024	35378
221	28146	35245
222	28253	35095
223	28379	34967
224	28498	34831
225	28628	34708
226	28746	34571
227	28861	34430
228	28978	34293
229	29088	34147
230	29215	34021
231	29332	33883
232	29463	33762
233	29578	33623
234	29694	33485
235	29833	33372
236	29954	33240
237	30070	33102
238	30181	32959
239	30306	32831
240	30430	32702
241	30702	32732
242	30835	32611
243	30957	32479
244	31081	32350
245	31185	32200
246	31282	32042
247	31434	31941
248	31576	31829
249	31688	31688
250	31814	31560
251	31982	31474
252	32091	31330
253	32198	31184
254	32332	31064
255	32476	30954
256	32584	30809
257	32680	30653
258	32820	30539
259	32976	30439
260	33090	30301
261	33215	30172
262	33321	30027
263	33447	29899
264	33573	29772
265	33685	29633
266	33799	29495
267	33939	29380
268	34058	29247
269	34191	29126
270	34319	29000
271	34449	28877
272	34574	28748
273	34680	28605
274	34832	28499
275	34955	28369
276	35117	28271
277	35235	28137
278	35361	28010
279	35475	27873
280	35615	27757
281	35764	27647
282	35870	27504
283	35965	27353
284	36059	27203
285	36181	27072
286	36327	26960
287	36472	26847
288	36607	26727
289	36719	26590
290	36847	26464
291	36992	26350
292	37125	26228
293	37262	26109
294	37382	25977
295	37514	25854
296	37624	25716
297	37738	25581
298	37888	25470
299	38030	25353
300	38141	25216
301	38285	25101
302	38427	24984
303	38548	24853
304	38654	24713
305	38759	24573
306	38870	24436
307	38974	24295
308	39107	24173
309	39244	24053
310	39347	23912
311	39481	23790
312	39752	23749
313	39868	23616
314	40002	23493
315	40133	23368
316	40278	23252
317	40386	23114
318	40515	22988
319	40637	22858
320	40747	22722
321	40877	22596
322	41012	22474
323	41157	22357
324	41282	22228
325	41397	22095
326	41516	21964
327	41631	21831
